_step,_timestamp,grad_norm,lr,loss_metrics/global_avg_loss,loss_metrics/global_max_loss,n_tokens_seen,throughput(tps),tflops,mfu(%),source
1,1778482783.1850202,1.1964616775512695,1.61e-07,12.93655014038086,13.118179321289062,100663296.0,13.421836809705587,0.1501647025155936,0.05035893451249463,wandb
2,1778482790.834588,1.1961374282836914,3.22e-07,12.934035301208496,13.035524368286133,201326592.0,2143.7016348859834,23.98392432040801,8.04320092518834,wandb
3,1778482798.4666498,1.1968908309936523,4.83e-07,12.92900276184082,13.035839080810547,301989888.0,2149.247278352248,24.04596947213918,8.064008263267828,wandb
4,1778482806.2020984,1.1970449686050415,6.44e-07,12.922006607055664,13.074546813964844,402653184.0,2120.427676070885,23.72353320171238,7.955876680047131,wandb
5,1778482813.7679818,1.1976847648620605,8.049999999999999e-07,12.912230491638184,13.033613204956055,503316480.0,2173.788266926815,24.320536232336536,8.156086423211246,wandb
6,1778482821.0442708,1.1968467235565186,9.66e-07,12.900314331054688,12.99209976196289,603979776.0,2253.890506363063,25.216727202791414,8.456631235912083,wandb
7,1778482828.3444612,1.1975653171539307,1.127e-06,12.885799407958984,13.060795783996582,704643072.0,2244.9035178857685,25.11617997737528,8.422911919352867,wandb
8,1778482835.9091284,1.1980466842651367,1.288e-06,12.868806838989258,12.97203254699707,805306368.0,2166.3991163471646,24.237865759258383,8.128362218587144,wandb
9,1778482843.7186358,1.19770085811615,1.4489999999999998e-06,12.849538803100586,13.055660247802734,905969664.0,2098.46400347945,23.477801681682447,7.873468648615389,wandb
10,1778482851.241957,1.1982237100601196,1.6099999999999998e-06,12.82806396484375,12.949869155883789,1006632960.0,2178.303848999688,24.371056965696024,8.173028955378614,wandb
11,1778482859.0312364,1.1986881494522095,1.7709999999999999e-06,12.803869247436523,12.916996002197266,1107296256.0,2103.896236028953,23.538577982002362,7.893850467221561,wandb
12,1778482866.3152027,1.203693151473999,1.932e-06,12.77682113647461,12.969049453735352,1207959552.0,2249.9306123712245,25.172423557045416,8.441773653821143,wandb
13,1778482873.4802089,1.2078367471694946,2.0929999999999997e-06,12.74795913696289,12.921579360961914,1308622848.0,2287.310118162284,25.59062878833205,8.582022124349422,wandb
14,1778482881.184597,1.2128348350524902,2.254e-06,12.716535568237305,12.916385650634766,1409286144.0,2127.12597756897,23.798474393896477,7.981008808478546,wandb
15,1778482888.2165413,1.2149244546890259,2.4149999999999997e-06,12.68292236328125,12.921232223510742,1509949440.0,2330.5819367845234,26.074757738999857,8.744378641652489,wandb
16,1778482895.3618758,1.2214127779006958,2.576e-06,12.646127700805664,12.908246040344238,1610612736.0,2293.592751214031,25.660919445013857,8.605594658489473,wandb
17,1778482902.908208,1.2281336784362793,2.737e-06,12.607819557189941,12.84250259399414,1711276032.0,2171.710610757266,24.297291230549266,8.148291025869941,wandb
18,1778482910.7879748,1.2373496294021606,2.8979999999999996e-06,12.566128730773926,12.826807022094727,1811939328.0,2087.530857645669,23.355480674880894,7.832447320248411,wandb
19,1778482918.8325565,1.24705970287323,3.059e-06,12.522378921508789,12.799098014831543,1912602624.0,2053.9304916992746,22.97955679588492,7.706378239519702,wandb
20,1778482926.7998,1.258089542388916,3.2199999999999997e-06,12.47589111328125,12.804153442382812,2013265920.0,2099.5744332203644,23.490225268265487,7.8776349977817715,wandb
