_step,_timestamp,grad_norm,lr,loss_metrics/global_avg_loss,loss_metrics/global_max_loss,n_tokens_seen,throughput(tps),tflops,mfu(%),source
1,1777605743.7915673,1.2027523517608643,1.1399999999999999e-07,12.95163345336914,13.01919937133789,100663296.0,280.25056871167203,3.1354682579647064,1.0515043683614897,wandb
25,1777605925.6631246,1.2873808145523071,2.85e-06,12.432464599609375,12.769329071044922,2516582400.0,2257.643449117171,25.258715459705776,8.470712333832049,wandb
50,1777606106.0072925,2.6214983463287354,5.7e-06,10.6302490234375,11.816558837890625,5033164800.0,2405.764246492494,26.915904098607566,9.02646380367323,wandb
75,1777606294.536271,1.8147478103637695,8.55e-06,9.183244705200195,10.87420654296875,7549747200.0,2274.8175567161534,25.450860901133524,8.535149845042309,wandb
100,1777606480.6827302,1.1012904644012451,1.14e-05,8.292341232299805,10.107585906982422,10066329600.0,2361.9613961898494,26.42583391832678,8.862114847481454,wandb
125,1777606730.518748,1.602880597114563,1.4249999999999999e-05,7.566095352172852,9.233575820922852,12582912000.0,2723.5151280991818,30.470929188469505,10.218669912642428,wandb
150,1777606886.0336068,1.2619576454162598,1.71e-05,7.01585578918457,8.634735107421875,15099494400.0,2683.205774117201,30.019944555358574,10.067428607432129,wandb
175,1777607049.0146506,1.6918959617614746,1.9949999999999997e-05,6.6093220710754395,8.324006080627441,17616076800.0,1971.734796349153,22.059944054699756,7.3979787485981205,wandb
200,1777607217.1903262,0.9087847471237183,2.28e-05,6.306820869445801,7.920162200927734,20132659200.0,2800.4607243323376,31.33180335435726,10.507370952348731,wandb
225,1777607457.560272,0.625850260257721,2.28e-05,6.043093681335449,8.184085845947266,22649241600.0,2697.3726836368005,30.178445197538757,10.12058306601011,wandb
250,1777607620.6346455,0.8786640763282776,2.28e-05,5.858448505401611,7.814877033233643,25165824000.0,2806.6629030942013,31.40119388129693,10.530641620777484,wandb
275,1777607773.3791842,0.770014226436615,2.28e-05,5.69802188873291,6.940277099609375,27682406400.0,2436.94708244445,27.26478043727174,9.143462275334196,wandb
300,1777607926.9778438,0.5240413546562195,2.28e-05,5.553836345672607,7.12331485748291,30198988800.0,2616.138213826502,29.269586733080715,9.815790107837959,wandb
325,1777608558.4385393,0.7856316566467285,2.28e-05,5.442819595336914,6.773191452026367,32715571200.0,2252.211599105992,25.19794343925861,8.450331950515448,wandb
350,1777608729.8584845,0.8574701547622681,2.28e-05,5.343459129333496,7.649417877197266,35232153600.0,2722.6935463139407,30.461737258473477,10.215587325370194,wandb
375,1777608900.858179,0.5576680898666382,2.28e-05,5.228780746459961,6.521562576293945,37748736000.0,2505.035049352348,28.02655465942757,9.398929355974326,wandb
400,1777609075.7943745,0.5585709810256958,2.28e-05,5.13286018371582,6.547415256500244,40265318400.0,2460.8890644888393,27.532645459198513,9.233292953725462,wandb
425,1777609318.0707057,0.8086668848991394,2.28e-05,5.050070762634277,6.255407810211182,42781900800.0,2863.1424026878044,32.03309153993707,10.742553556651716,wandb
450,1777609469.0593243,0.5660223364830017,2.28e-05,4.952402591705322,6.514405250549316,45298483200.0,2694.8727315058554,30.150475511021995,10.111203207840802,wandb
475,1777609620.241982,0.5240502953529358,2.28e-05,4.884121894836426,6.14840841293335,47815065600.0,2215.7702966034667,24.790234909706573,8.313603632901899,wandb
500,1777609774.9473455,0.4628429114818573,2.28e-05,4.7985029220581055,6.9416985511779785,50331648000.0,2606.5698895387022,29.16253547097543,9.779889610533806,wandb
525,1777610013.6839314,0.5158928036689758,2.28e-05,4.738262176513672,6.842728614807129,52848230400.0,2692.05602099,30.118961903556578,10.100634867425127,wandb
550,1777610215.0688946,0.576246440410614,2.28e-05,4.67768669128418,5.991377830505371,55364812800.0,2804.3105477118215,31.374875520314433,10.521815547838965,wandb
575,1777610461.0803986,0.4168882668018341,2.28e-05,4.610393047332764,6.050159454345703,57881395200.0,2740.22903109273,30.657925819890753,10.281380729219459,wandb
600,1777610635.3930888,0.6637471914291382,2.28e-05,4.56291389465332,5.9887237548828125,60397977600.0,2890.0121011394076,32.33371211310266,10.843369071240321,wandb
625,1777610881.1375344,0.4230397045612335,2.28e-05,4.497649192810059,6.154996871948242,62914560000.0,2769.019228237036,30.98003310303204,10.389401983921609,wandb
650,1777611033.0469868,0.4677881896495819,2.28e-05,4.447729587554932,5.958077430725098,65431142400.0,2830.973183352968,31.67317945636283,10.62185415963404,wandb
675,1777611192.6702209,0.4991782307624817,2.28e-05,4.393679618835449,5.3817524909973145,67947724800.0,2437.2906612459446,27.26862442742365,9.144751388188842,wandb
700,1777611360.8555877,0.49629345536231995,2.28e-05,4.338921546936035,5.997923851013184,70464307200.0,2119.7404178617057,23.715844095817562,7.953298076861896,wandb
725,1777611619.51863,0.42564892768859863,2.28e-05,4.283126354217529,5.766116142272949,72980889600.0,2613.961323237775,29.24523148779649,9.80762238145648,wandb
750,1777611787.2779841,0.5253239870071411,2.28e-05,4.233335494995117,5.288053512573242,75497472000.0,2509.09571047086,28.071985696738132,9.414165017847127,wandb
