_step,_timestamp,grad_norm,lr,loss_metrics/global_avg_loss,loss_metrics/global_max_loss,n_tokens_seen,throughput(tps),tflops,mfu(%),source
1,1786857636.5928476,0.25049251317977905,1.085e-06,2.6025354862213135,4.098584175109863,100663296.0,72.23824272843338,0.8082078767132906,0.27103897822899137,wandb
5,1786857670.678929,0.9773017168045044,5.425e-06,2.6029810905456543,3.2199504375457764,503316480.0,1987.192767006229,22.232889203573567,7.455977288071708,wandb
10,1786857715.2510004,1.603742241859436,1.085e-05,2.615192413330078,3.474026679992676,1006632960.0,2106.231167110525,23.56470139835959,7.902611163920171,wandb
15,1786857764.0393875,1.6316660642623901,1.6275e-05,2.628943681716919,3.872920513153076,1509949440.0,1990.191268441505,22.266436703994316,7.46722771076389,wandb
20,1786857812.2755966,1.5593372583389282,2.17e-05,2.6510610580444336,3.3010754585266113,2013265920.0,2138.2715698882585,23.923172270849932,8.02282723926919,wandb
25,1786857849.2062726,1.7531139850616455,2.17e-05,2.662968158721924,3.7658679485321045,2516582400.0,2165.8101474671107,24.231276323109054,8.126152398449927,wandb
30,1786857892.3234026,1.289109468460083,2.17e-05,2.651852607727051,3.502577781677246,3019898880.0,2044.2708518648144,22.871483887331856,7.67013512490471,wandb
35,1786857928.0519805,1.391687035560608,2.17e-05,2.657970905303955,3.22187876701355,3523215360.0,2384.6471215805527,26.679643829216328,8.947232031926193,wandb
40,1786857969.8189058,1.0585479736328125,2.17e-05,2.645493984222412,3.755621910095215,4026531840.0,1833.2593161235147,20.51066808088145,6.878416654442237,wandb
45,1786858006.2013159,1.0438112020492554,2.17e-05,2.6424949169158936,3.416027784347534,4529848320.0,2508.5393536819693,28.06576112756174,9.41207755876872,wandb
50,1786858041.4878407,0.9246136546134949,2.17e-05,2.637915849685669,3.3261759281158447,5033164800.0,2370.0996560580916,26.516885492670575,8.892649721475312,wandb
55,1786858076.1254706,1.0837571620941162,2.17e-05,2.6404314041137695,3.6849498748779297,5536481280.0,2454.3549337431195,27.459541023975497,9.208776796437524,wandb
60,1786858111.8329148,1.1854667663574219,2.17e-05,2.641348361968994,3.542473793029785,6039797760.0,2328.5227278822813,26.051719126877927,8.736652458736856,wandb
65,1786858153.853526,1.0053259134292603,2.17e-05,2.6326026916503906,3.261194944381714,6543114240.0,1182.1832592155445,13.226371319806795,4.435569451235859,wandb
70,1786858188.7786145,1.0607149600982666,2.17e-05,2.635490894317627,3.660430908203125,7046430720.0,2470.813001172961,27.643675344383606,9.270527714113879,wandb
75,1786858222.7067256,1.042268991470337,2.17e-05,2.6347081661224365,3.54653263092041,7549747200.0,2330.9854374273623,26.079272140035705,8.74589258216127,wandb
80,1786858257.914156,0.936047375202179,2.17e-05,2.6314430236816406,3.189685821533203,8053063680.0,2444.332632295382,27.347410625077128,9.17117296996974,wandb
85,1786858293.04112,0.9489867091178894,2.17e-05,2.630319595336914,3.313889980316162,8556380160.0,2384.056917905917,26.673040578075533,8.945017578821046,wandb
90,1786858336.6995296,0.966518223285675,2.17e-05,2.626843214035034,3.262941598892212,9059696640.0,2143.2269004045393,23.978612948858004,8.041419714240776,wandb
95,1786858375.6304986,0.8868077993392944,2.17e-05,2.6271471977233887,3.270226001739502,9563013120.0,1923.2187104758127,21.517141776167882,7.215945661328623,wandb
